chinRyo,ekiToho,senMenseki,chiku,kai_all,shinchiku,kai_above,south,parking,autolock,aircon,bathtoilet,addbatch,flooring,pet,url_detail
67000,7,18.09,14,3,0,1,1,0,1,1,1,0,0,0,https://www.chintai.net/detail/bk-C010037980000000000477420001/
210000,10,77.22,14,14,0,1,1,0,1,1,1,1,1,0,https://www.chintai.net/detail/bk-0000000020000000007747460001/
70000,5,25.77,15,3,0,0,1,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010070510022010001845960001/
70000,5,25.77,15,3,0,0,0,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010083300000000000003350001/
70000,15,24.18,15,2,0,1,1,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-0000000020000000002628070002/
116000,14,55.15,15,3,0,1,1,0,0,1,1,1,1,0,https://www.chintai.net/detail/bk-C010019770149160000366160001/
107000,4,60.7,16,12,0,1,1,1,1,0,1,1,1,0,https://www.chintai.net/detail/bk-0000004280000000003887230002/
135000,8,75.57,16,15,0,1,1,0,1,0,1,1,1,0,https://www.chintai.net/detail/bk-C010063070000000001035160100/
45000,6,11.35,16,3,0,0,0,0,0,1,0,0,0,0,https://www.chintai.net/detail/bk-C010083690000000000004480001/
45000,6,11.35,16,3,0,0,0,0,0,1,0,0,0,0,https://www.chintai.net/detail/bk-C010083300000000000000740001/
45000,6,11.35,16,3,0,0,0,0,0,1,0,0,1,0,https://www.chintai.net/detail/bk-C010037980000000000473240001/
61000,16,21.42,16,2,0,1,1,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-C010072700010800003240910001/
69000,7,25.35,16,5,0,1,0,0,1,1,1,0,0,0,https://www.chintai.net/detail/bk-C010026540000000001000140104/
93000,17,54.4,16,6,0,1,1,1,1,1,1,1,1,0,https://www.chintai.net/detail/bk-C010057870085002401050300001/
150000,11,57.13,17,2,0,1,1,0,0,0,1,1,1,1,https://www.chintai.net/detail/bk-0000006630000000007261840002/
80000,5,55.08,18,3,0,1,1,1,0,1,1,1,1,0,https://www.chintai.net/detail/bk-C010057130007943501030800001/
74000,5,26.02,19,7,0,1,0,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010046450000420079667100001/
102000,15,55.09,19,7,0,1,1,1,1,1,1,1,1,0,https://www.chintai.net/detail/bk-0000004100000000001759670021/
109000,2,39.04,19,6,0,1,0,0,1,1,1,1,1,0,https://www.chintai.net/detail/bk-0000000020000000001792970002/
68000,2,39.75,19,2,0,0,1,1,0,1,1,1,1,0,https://www.chintai.net/detail/bk-0000004100000000005833630005/
65000,6,18.95,20,2,0,1,0,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-C010046450000420079605650001/
149000,6,77.92,21,6,0,1,0,0,0,1,1,1,0,0,https://www.chintai.net/detail/bk-C010046890000000001058090100/
149000,6,77.92,21,6,0,1,0,0,0,1,1,1,0,0,https://www.chintai.net/detail/bk-C010026540000000001010350115/
132000,6,59.5,21,7,0,1,1,0,0,1,1,1,1,0,https://www.chintai.net/detail/bk-0000006630000000003283400014/
80000,5,64.46,22,2,0,0,0,1,0,1,1,1,1,0,https://www.chintai.net/detail/bk-0000004280000000003453600002/
102000,2,51.44,22,9,0,1,1,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-0000000960000000006985830008/
94000,8,67.5,22,6,0,1,1,1,0,0,1,1,1,0,https://www.chintai.net/detail/bk-0000004100000000006374590017/
58000,12,16,23,3,0,0,0,0,0,1,0,0,1,0,https://www.chintai.net/detail/bk-0000000020000000000791500000/
65000,8,18.63,23,3,0,1,1,0,1,1,1,0,0,0,https://www.chintai.net/detail/bk-C010033530000000000300500003/
72000,1,42,23,3,0,1,0,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-0000004280000000000754720006/
55000,10,15.25,24,3,0,1,0,0,0,1,0,0,1,0,https://www.chintai.net/detail/bk-C010041900000000001075290001/
77000,12,55,24,3,0,1,0,0,0,0,1,0,1,0,https://www.chintai.net/detail/bk-0000004100000000006190460005/
70000,12,41.25,24,3,0,1,0,0,1,0,1,0,1,0,https://www.chintai.net/detail/bk-0000004100000000006190460006/
73000,4,21,24,6,0,0,0,0,1,1,0,0,1,0,https://www.chintai.net/detail/bk-0000000020000000000649380001/
72000,5,20,24,9,0,1,1,0,1,1,0,0,1,1,https://www.chintai.net/detail/bk-0000000020000000000893940009/
98000,2,37.19,25,7,0,1,0,0,1,1,0,0,1,0,https://www.chintai.net/detail/bk-0000000020000000001618450006/
